letter,tags,headword,eng,rus,forms,variants
,"v cls
гл. кл.","гумлукка́на
gumluˈkːana",to let down,подводить,"гумбеккара
гумбеччив",
,"v cls
гл. кл.","гумцабиға́ра
gumtsabiˈʁara",to prosper,"обогатиться, процветать","гумцабағара
гумцабағив",
,"v cls
гл. кл.","гумцяна́
gumtsæˈna",to yield,"сдаваться, капитулировать",гумцябун,
,"v cls
гл. кл.","гумьабирга́ра
gumhabirˈgara",to position oneself for feeding,расположиться для кормления,"гумьабигара
гумьабижив",
,"v
гл.","гумьилтьа́на
gumhilˈtʼana",to worry,волноваться,"гумьитьана
гумьитьун",
,"adj
прил.","гуна́
guˈna",warm,теплый,,
,"n
сущ.","гунаде́ҳ
gunaˈdex",warmth,тепло,,
,"n
сущ.","гуна́ь
guˈnah",sin,грех,гунаье,
,"n
сущ.","гунгу́н
gunˈgun",ewer,кувшинчик,,
,"adv adj
нар. прил.","гуне́в
guˈnev",past,прошлый,,
,"v cls
гл. кл.","гуне́р белса́на
guˌner belˈsana",to evict,выселять,"~ бесана
~ бесун",
,"v cls
гл. кл.","гуне́р берга́ра
guˌner berˈgara",to migrate,переселяться,"~ бегара
~ бегур",
,"v cls
гл. кл.","гуне́р билтьа́на
guˌner bilˈtʼana",to rescue,выручать,"~ битьана
~ битьун",
,"v cls
гл. кл.","гуне́р булҡа́на
guˌner bulˈqana",to survive,уцелевать,"~ буҡана
~ буҡун",
,"v cls
гл. кл.","гуне́р бурҡа́ра
guˌner burˈqara",to utilize,пользоваться,"~ бяҡара
~ бяҡив",
,"v cls
гл. кл.","гуне́р кика́ра
guˌner kiˈkara",to relocate,переселять,"~ какара
~ качив",
,"v
гл.","гуне́р китьа́ра
guˌner kiˈtʼara",to drain,сливать,"~ катьара
~ катьив",
,"v cls
гл. кл.","гуне́р ьабирка́ра
guˌner habirˈkara",to get eradicated,искореняться,"~ ьабикара
~ ьабичив",
,"v cls
гл. кл.","гуне́р ьабирҳо́ра
guˌner habirˈxora",to exterminate,истреблять,"~ ьабиҳора
~ ьабишур",
,"v cls
гл. кл.","гуне́р ьабирцца́ра
guˌner habirˈtsːara",to quit job,покидать работу,"~ ьабиццара
~ ьабиццур",
,"v cls
гл. кл.","гуне́р ьутта́ра
guˌner huˈtːara",to root out,вырывать с корнем,"~ ьаберттара
~ ьаберттив",
,"adv
нар.","гуни́
guˈni",below,"снизу, под",,
,"v cls
гл. кл.","гуничи́ бира́ра
guniˌtʃi biˈrara",to talk over,обсуждать,"~ барара
~ барив",
,"v cls
гл. кл.","гур бикьо́ра
ˌgur biˈkʼora","to blaze
to race","полыхать
мчаться",,
,"n
сущ.","гургума́й
gurguˈmaj",bonfire,костёр,,
,"n
сущ.","гургу́р
gurˈgur",circle,круг,,
,"n adj
сущ. прил.","гу́ржи
ˈgurʒi",georgian,грузин,гуржбе,
,"n
сущ.","гурмерди́
gurmerˈdi",fancy headscarf,нарядный платок,гурмердре,
,"n
сущ.","гу́рппа
ˈgurpːa",party,группа,гурппне,
,"n
сущ.","гурше́р
gurˈʃer",chisel,стамеска,,
,"n
сущ.","гута́
guˈta",pillow,подушка,"гутан-
гутне",
,"adv
нар.","гутте́л
guˈtːel",down,вниз,,
,"v cls
гл. кл.","гутти́ бирка́ра
guˌtːi birˈkara",to lose,проигрывать,"~ бикара
~ бичив",
,"v cls
гл. кл.","гутти́ бирха́ра
guˌtːi birˈχаra","to impede
to interfere","затруднять
мешать","~ бархара
~ бархив",
,"adj
прил.","гутти́р
guˈtːir",lower,нижний,,
,"n
сущ.","гу́цца
ˈgutsːa",anvil,наковальня,"гуццан
гуццре",
ғ,,,,,,
,"n
сущ.","ғав
ˈʁav",ploughshare,лемех,ғивре,
,"n intj
сущ. межд.","ға́вза
ˈʁavza","lionheart
wow","смельчак
ого",ғивзне,
,"n
сущ.","ғавзаде́ҳ
ʁavzaˈdex",courage,мужество,,
,"n
сущ.","ғаза́
ʁaˈza",struggle,борьба,,
,"v cls
гл. кл.","ға́зал кабирьо́ра
ˌʁazal kabirˈhora",to struggle,бороться,"~ кабиьора
~ кабиьяв",
,"n
сущ.","ғазлиъя́
ʁazliˈʔæ",warrior,воин,ғазлиъне,
,"num
числ.","ға́ил
ˈʁail",twenty,двадцать,"ғаъ-
ға",
,"n
сущ.","ғай
ˈʁaj",speech,речь,,
,"adj
прил.","ғай акко́р
ˌʁaj aˈkːor",unconditional,безоговорочный,,
,"v cls
гл. кл.","ғай бикьо́ра
ˌʁaj biˈkʼora",to crituque,критиковать,,
,"v cls
гл. кл.","ғай булҡа́на
ˌʁaj bulˈqana",to speak,выступать,"~ буҡана
~ буҡун",
,"v
гл.","ғай дира́ра
ˌʁaj diˈrara",to negotiate,вести переговоры,"~ дарара
~ дарив",
,"v
гл.","ғай ира́ра
ˌʁaj iˈrara",to speak out,высказываться,"~ биара
~ биив",
,"v cls
гл. кл.","ғай кабикьо́ра
ˌʁaj kabiˈkʼora",to talk,разговаривать,~ кабичьив,
,"v cls
гл. кл.","ғай кабулҡа́на
ˌʁaj kabulˈqana",to discuss,обговаривать,"~ кабуҡана
~ кабуҡун",
,"v
гл.","ғай лукка́на
ˌʁaj luˈkːana",to promise,обещать,"~ деккара
~ деччив",
,"v cls
гл. кл.","ғай ьабирга́ра
ˌʁaj habirˈgara",to squabble,вздорить,"~ ьабигара
~ ьабижив",
,"n
сущ.","ғайтьа́ла
ʁajˈtʼala",discord,раздор,ғайтьалал-,
,"n
сущ.","ғалбе́ць
ʁalˈbetsʼ",lion,лев,"ғалбецьи-
ғалбицье",
,"n
сущ.","ғалми́с
ʁalˈmis",hanging loop,петля для подвешивания,ғалмисе,
,"adj
прил.","ғамчу́
ʁamˈtʃu",shaggy,лохматый,,
,"n
сущ.","ғаниму́ра
ʁaniˈmura",creeping speedwell,вероника цветоножковая,,
,"adj
прил.","ғапу́л
ʁaˈpul",serene,безмятежный,,
,"n
сущ.","ғара́
ʁaˈra",invasion,нашествие,,
,"adj
прил.","ғарғ
ˈʁarʁ",avaricious,алчный,,
,"intj
межд.","ғари́
ʁaˈri",oh come on,ну же,,
,"n
сущ.","ғари́в
ʁaˈriv",poor guy,бедолага,ғаривте,
,"n
сущ.","ғаркк
ˈʁarkː",scabies,чесотка,,
,"adj
прил.","ғвяк
ˈʁʷæk",slanted,скошенный,,
,"v cls
гл. кл.","ғвянчьра́ ьабира́ра
ʁʷæntʃʼˌra habiˈrara",to crumple,комкать,"~ ьабарара
~ ьабарив",
,"v cls
гл. кл.","ғвяр бира́ра
ˌʁʷær biˈrara",to scratch,царапать,"~ барара
~ барив",
,"v cls
гл. кл.","ғвяр кабира́ра
ˌʁʷær kabiˈrara",to remove bark,снимать кору,"~ кабарара
~ кабарив",
,"v cls
гл. кл.","ғвяр курға́ра
ˌʁʷær kurˈʁara",to take down,обваливать,"~ кағара
~ кағив",
,"v cls
гл. кл.","ғвяр цабира́ра
ˌʁʷær tsabiˈrara",to cross out,перечёркивать,"~ цабарара
~ цабарив",
,"n
сущ.","ғвя́рғвяр
ˈʁʷærʁʷær",rockfall,камнепад,,
,"n
сущ.","ғвя́ре
ˈʁʷære",rabbit,заяц,"ғвярин-
ғвяринде",
,"adj
прил.","ғвярць
ˈʁʷærtsʼ",narrow,узкий,,
,"n adj
сущ. прил.","ғвячь
ˈʁʷætʃʼ",pressure,давление,,
,"v cls
гл. кл.","ғвячь бира́ра
ˌʁʷætʃʼ biˈrara",to pressure,давить,"~ барара
~ барив",
,"v cls
гл. кл.","ғвячь кабира́ра
ˌʁʷætʃʼ kabiˈrara","to dunk
to press (a button)","окунать, макать
нажимать","~ кабарара
~ кабарив",
,"v cls
гл. кл.","ғвячь цабира́ра
ˌʁʷætʃʼ tsabiˈrara",to compress,сжимать,"~ цабарара
~ цабарив",
,"v cls
гл. кл.","ғвячь цабирка́ра
ˌʁʷætʃʼ tsabirˈkara",to get close to,прижиматься,"~ цабикара
~ цабичив",
,"v
гл.","ғер цурга́ра
ˌʁer tsurˈgara",to dusk,смеркаться,"~ цагара
~ цагур",
,"n
сущ.","ғера́
ʁeˈra",dusk,сумерки,,
,"v cls
гл. кл.","ғивз кабикьо́ра
ˌʁivz kabiˈkʼora",to gnaw,глодать,,
,"n
сущ.","ғиғ
ˈʁiʁ",grin,оскал,,
,"v cls
гл. кл.","ғиғ бирцца́ра
ˌʁiʁ birˈtsːara",to grin,лыбиться,"~ биццара
~ биццур",
,"n
сущ.","ғиз
ˈʁiz",hair,волос,ғизбе,
,"adj
прил.","ғизба́р
ʁizˈbar",hairy,волосатый,,
,"n
сущ.","ғили́
ʁiˈli",clasp,застежка,"ғилин-
ғилме",
,"n
сущ.","ғи́мғе
ˈʁimʁe",plum,слива,,
,"v cls
гл. кл.","ғина́ бира́ра
ʁiˌna biˈrara",to damage,повреждать,"~ барара
~ барив",
,"n
сущ.","ғинтьра́
ʁintʼˈra",discontent,недовольство,,
,"v cls
гл. кл.","ғинчь бирцца́ра
ˌʁintʃʼ birˈtsːara",to smirk,ухмыляться,"~ биццара
~ биццур",
,"n
сущ.","ғи́ппе
ˈʁipːe",haystack,стог,ғиппре,
,"n
сущ.","ғи́рғя
ˈʁirʁæ",twine,бечёвка,ғирғял-,
,"n
сущ.","ғи́ре
ˈʁire",vine,лоза,"ғирин-
ғирме",
,"n
сущ.","ғичь
ˈʁitʃʼ",gap,щель,ғичьре,
,"v cls
гл. кл.","ғичь бира́ра
ˌʁitʃʼ biˈrara",to open slightly,приоткрывать,"~ барара
~ барив",
,"n
сущ.","ғичьу́
ʁiˈtʃʼu",accordion,гармонь,ғичьне,
,"n
сущ.","ғо́йғой
ˈʁojʁoj",thunder,гром,,
,"n
сущ.","ғо́ла
ˈʁola",tribute,дань,,
,"v cls
гл. кл.","ғо́оғ бира́ра
ˌʁooʁ biˌrara",to gargle,полоскать,"~ барара
~ барив",
,"n
сущ.","ғорш
ˈʁorʃ",furrow,борозда,ғоршре,
,"n
сущ.","ғуғ
ˈʁuʁ","mumble
hum","бубнёж
гудение",,
,"n
сущ.","ғу́ғя
ˈʁuʁæ",small hayrick,копна,ғуғне,
,"adj
прил.","ғук
ˈʁuk","low
quiet","низкий
тихий",,
,"n
сущ.","ғу́кла ҡа́ле
ˌʁukla ˈqale",pantry,кладовка,,
,"n
сущ.","ғу́ле
ˈʁule",grape bunch,виноградная гроздь,"ғулин-
ғулме",
,"n
сущ.","ғулму́ҳ
ʁulˈmux",valve,задвижка,ғулмуҳе,
,"n
сущ.","ғулу́тт
ʁuˈlutː",stake,кол,"ғулттин-
ғилттме",
,"n
сущ.","ғулу́ҳ
ʁuˈlux",falcon,сокол,ғулуҳе,
,"n
сущ.","ғу́ма
ˈʁuma",boulder,валун,ғурме,
,"n
сущ.","ғу́маҡьар
ˈʁumaqʼar",thyme,чабрец,,
,"n
сущ.","ғуме́кк
ʁuˈmekː",gazi-kumukh,гази-кумух,,
,"n
сущ.","ғундра́
ʁundˈra",grumble,ворчание,,
,"n
сущ.","ғуну́г
ʁuˈnug","haze
milk foam","дымка
пенка молока",,
,"n
сущ.","ғур
ˈʁur",growl,рык,,
,"adj
прил.","ғурға́
ʁurˈʁa",huge,огромный,,
,"n
сущ.","ғурғаши́н
ʁurʁaˈʃin",lead,свинец,,
,"v cls
гл. кл.","ғуртьу́м бикьо́ра
ʁurˌtʼum biˈkʼora",to coo,ворковать,,
,"v cls
гл. кл.","ғуртьу́м бира́ра
ʁurˌtʼum biˈrara",to rinse,прополаскивать,"~ барара
~ барив",
,"adv
нар.","ғурш
ˈʁurʃ",tomorrow,завтра,,
,"adv
нар.","ғурш ғу́ршла бу́гал
ˈʁurʃ ˌʁurʃla ˌbugal",3 days later,3 дня спустя,,
,"adj
прил.","ғурша́
ʁurˈʃa",gray,серый,,
,"adv
нар.","ғу́ршла бу́гал
ˌʁurʃla ˈbugal",day after tomorrow,послезавтра,,
,"n
сущ.","ғуть
ˈʁutʼ",stem,стебель,ғитье,
,"n
сущ.","ғя́бе
ˈʁæbe",parsnip chervil,бутень,,
,"adj
прил.","ғяв
ˈʁæv",silent,молчаливый,,
,"v cls
гл. кл.","ғяв бирцца́ра
ˌʁæv birˈtsːara",to shut up,умолкать,"~ биццара
~ биццур",
,"v cls
гл. кл.","ғявж бира́ра
ˌʁævʒ biˈrara",to scratch,чесать,"~ барара
~ барив",
,"v cls
гл. кл.","ғявж кабира́ра
ˌʁævʒ kabiˈrara",to rip off,сдирать,"~ кабарара
~ кабарив",
,"v cls
гл. кл.","ғявж цабира́ра
ˌʁævʒ tsabiˈrara",to sweep away,сметать,"~ цабарара
~ цабарив",
,"n
сущ.","ғявжра́
ʁævʒˈra",itch,зуд,,
,"v cls
гл. кл.","ғявжра́ кабикьо́ра
ʁævʒˌra kabiˈkʼora",to importune,быть назойливый,,
,"adj
прил.","ғяғ
ˈʁæʁ",awful,ужасный,,
,"n
сущ.","ғя́ғя
ˈʁæʁæ",gravel,гравий,ғяғян-,
,"n
сущ.","ғяй
ˈʁæy",ruin,руины,,
,"n
сущ.","ғял
ˈʁæl",travois,волокуша,"ғяла-
ғялте",
,"n
сущ.","ғя́ма
ˈʁæma",debris,развалины,,
,"n
сущ.","ғяму́л
ʁæˈmul",nail,гвоздь,ғялме,
,"n
сущ.","ғя́не
ˈʁæne",seam,шов,ғяниппе,
,"n
сущ.","ғячьа́м
ʁæˈtʃʼam",fruit core,огрызок,ғячьме,
д,,,,,,
,"n
сущ.","даба́ғ
daˈbaʁ",strong leather,прочная кожа,,
,"adj
прил.","давкк
ˈdavkː",sound,исправный,,
,"v cls
гл. кл.","давкк бира́ра
ˌdavkː biˈrara",to fix,исправлять,"~ барара
~ барив",
,"v cls
гл. кл.","давкк бирка́ра
ˌdavkː birˈkara",to fit,подходить,"~ бикара
~ бичив",
,"v cls
гл. кл.","давкк бирцца́ра
ˌdavkː birˈtsːara",to work out,"получаться, удаваться","~ биццара
~ биццур",
,"v
гл.","давкк урға́ра
ˌdavkː urˈʁara",to adjust,регулировать,"~ ағара
~ ағив",
,"n
сущ.","да́вла
ˈdavla",wealth,богатство,,
,"v cls
гл. кл.","да́вси кабирҳа́ра
ˌdavsi kabirˈxara",to soak,замачивать,"~ кабиҳара
~ кабишив",
,"n
сущ.","да́всне
ˈdavsne",moisture,влага,,
,"adv
нар.","да́гдучче
ˈdagdutʃːe",midnight,полночь,,
,"adv
нар.","да́гери
ˈdageri",midday,полдень,,
,"adv adj n
нар. прил. сущ.","дагна́
dagˈna","central
middle","центральный, посередине
середина",,
,"n
сущ.","даже́
daˈʒe",noon,обеденное время,,
,"n
сущ.","дазу́
daˈzu",border,граница,дазурбе,
,"adj
прил.","дазу́ акко́р
daˌzu aˈkːor",obscene,непристойный,,
,"adv adj
нар. прил.","да́им
ˈdaim",eternal,вечный,,
,"n
сущ.","дайга́н
dajˈgan",loincloth,набедренная повязка,,
,"n
сущ.","да́ккре
ˈdakːre",content,содержание,,
,"adj
прил.","дакьу́
daˈkʼu",apparent,явный,,
,"v cls
гл. кл.","дакьу́ бирьо́ра
daˌkʼu birˈhora",to appear,появляться,"~ биьора
~ биьяв",
,"n
сущ.","даҡда́ь
daqˈdah",smarty,всезнайка,даҡдаье,
,"n
сущ.","дала́й
daˈlaj",song,песня,далайте,
,"n
сущ.","далайчи́
dalajˈtʃi",singer,певец,далайчибе,
,"n
сущ.","да́лга
ˈdalga",component,деталь,далгне,
,"n
сущ.","далжи́н
dalˈʒin",filling,начинка,,
,"adv
нар.","да́лле
ˈdalle",along,вдоль,,
,"adj
прил.","данду́р
danˈdur",purple,пурпурный,,
,"n
сущ.","дара́жа
daˈraʒa","degree
situation","степень
ситуация",,
,"n
сущ.","дара́й
daˈraj",moire,муар,,
,"n
сущ.","дарға́л
darˈʁal",circumference,окружность,"дарғле-
дарғлиппе",
,"n
сущ.","дарккама́ҡ
darkːaˈmaq",entrails,"потроха, внутренности",,
,"n
сущ.","даркко́
darˈkːo",dargo,дарго,,
,"n
сущ.","дарма́н
darˈman",medicine,лекарство,дарманте,
,"adj
прил.","дарма́н акко́р
darˌman aˈkːor",heartbroken,безутешный,,
,"v cls
гл. кл.","дарма́н бира́ра
darˌman biˈrara",to cure,лечить,"~ барара
~ барив",
,"n
сущ.","дарс
ˈdars",lesson,урок,дирсле,
,"n
сущ.","дархи́кь
darˈχikʼ",composition,состав,,
,"num
числ.","да́ршал
ˈdarʃal",hundred,сто,дарш,
,"adj
прил.","дарши́
darˈʃi",peaceful,мирный,,
,"v cls
гл. кл.","дарши́ кабарта́ра
darˌʃi kabarˈtara",to reconcile,примирять,"~ кабатара
~ кабатур",
,"n
сущ.","даршиба́рҡь
darʃiˈbarqʼ",reconciliation,примирение,,
,"n
сущ.","даршиде́ҳ
darʃiˈdex",peace,мир,,
,"adj
прил.","дарьа́н
darˈhan",shrewd,сообразительный,,
,"n
сущ.","да́рье
ˈdarhe","stitch
embroidery","стёжка
вышивка",дарьиппе,
,"n
сущ.","дарье́ла тьуппу́гал
darˌhela tʼuˈpːugal",thimble,наперстник,,
,"n
сущ.","дарье́ла устта́
darˌhela usˈtːa",seamstress,швея,,
,"n
сущ.","даскка́
dasˈkːa",blackboard,классная доска,"дасккан
дасккне",
,"n
сущ.","дасккя́ь
dasˈkːæh",battle,битва,,
,"n
сущ.","дахуть
daχuˈtʼ",income,доход,,
,"conj
союз","даҳ
ˈdax",due to,потому что,,
,"n
сущ.","да́ццал
ˈdatsːal",ablution,омовение,даццле-,
,"n
сущ.","да́цце
ˈdatsːe",urine,моча,,
,"v cls
гл. кл.","да́цце бирга́ра
ˌdatsːe birˈgara",to urinate,писать,"~ бигара
~ бижив",
,"n
сущ.","дацциша́
datsːiˈʃa",to go to toiled to pee,в туалет по легкому,,
,"n
сущ.","да́цьма
ˈdatsʼma",mirror,зеркало,дацьмунде,
,"n
сущ.","дачча́л
daˈtʃːal",antichrist,антихрист,,
,"n
сущ.","да́шкка
ˈdaʃkːa",square,площадь,,
,"n
сущ.","дашкка́пп
daʃˈkːapː",stomach,желудок,дашккаппе,
,"n
сущ.","даьа́г
daˈhag",cliff,обрыв,даьаге,
,"n
сущ.","да́ьре
ˈdahre",mind,разум,,
,"n
сущ.","дев
ˈdev",monster,монстр,,
,"adj
прил.","де́вга
ˈdevga","solid
closed","твердый
закрытый",,
,"v cls
гл. кл.","де́вга бира́ра
ˌdevga biˈrara",to close,закрывать,"~ барара
~ барив",
,"n
сущ.","девгаде́ҳ
devgaˈdex",hardness,твердость,,
,"n
сущ.","девгана́й
devgaˈnaj",stronghold,оплот,девганайте,
,"n
сущ.","де́вкьре
ˈdevkʼre",demise,гибель,,
,"n
сущ.","де́вттре
ˈdevtːre",tumor,опухоль,,
,"n
сущ.","де́вхре
ˈdevχre",edema,отёк,,
,"adj
прил.","девҳ
ˈdevx",rigid,жесткий,,
,"n
сущ.","де́вччре
ˈdevtʃːre",temperature,температура,,
,"n
сущ.","деғ
ˈdeʁ",drought,засуха,деғин-,
,"n
сущ.","де́ғо
ˈdeʁo",covered yard,крытый двор,деғон,
,"n
сущ.","деғя́тьа
deˈʁætʼa",toad,жаба,деғятьне,
,"n
сущ.","де́за
ˈdeza",ode,ода,дезне,
,"n
сущ.","дек
ˈdek",threshing,молотьба,,
,"n
сущ.","деку́нть
deˈkuntʼ",dump,свалка,"декунтьан
декунтье",
,"n
сущ.","декк
ˈdekː",manure,навоз,деккан-,
,"adj
прил.","декь
ˈdekʼ",heavy,тяжелый,,
,"n
сущ.","декь
ˈdekʼ",half a meter,полметра,декьре,
,"n
сущ.","декьде́ҳ
dekʼˈdex",heaviness,тяжесть,,
,"n
сущ.","де́ҡье
ˈdeqʼe",cereals,зерновые,,
,"conj
союз","дел
ˈdel",if would,если бы,,
,"n
сущ.","дерд
ˈderd",grief,печаль,,
,"v cls
гл. кл.","дерд бирьо́ра
ˌderd birˈhora",to be fed with,нахватываться,"~ биьора
~ биьяв",
,"n
сущ.","дере́з
deˈrez",threshing floor,гумно,"дерзан
дерзне",
,"n
сущ.","дере́кка
deˈrekːa",comb,расчёска,"дереккан-
дириккбе",
,"n
сущ.","дере́цц
deˈretsː",plow,плуг,дирццме,
,"n
сущ.","дерту́р нег
derˌtur ˈneg",kefir,кефир,,
,"n
сущ.","де́рцца
ˈdertsːa",roasted grains,жареный зерна,,
,"n
сущ.","де́рчче
ˈdertʃːe",medlar,мушмула,дерччи-,
,"n
сущ.","де́рше
ˈderʃe",wayfaring tree,гордовина,дерши-,
,"n
сущ.","дех
ˈdeχ",sack,мешок,"дехан
дихбе",
,"n
сущ.","деҳ
ˈdex",beam,балка,"деҳо-
диҳбе",
,"n
сущ.","де́ҳре
ˈdexre",crops,посевы,,
,"v cls
гл. кл.","дець бира́ра
ˌdetsʼ biˈrara",to singe,подпаливать,"~ барара
~ барив",
,"n
сущ.","де́цьа
ˈdetsʼa",despair,отчаяние,децьирбе,
,"n
сущ.","дечч
ˈdetʃː",alcohol,алкоголь,дечча-,
,"n
сущ.","деччлу́ҡҡ
detʃːˈluqː",drunkard,пьяница,деччлуҡҡе,
,"n
сущ.","деччуҡа́р
detʃːuˈqar",binge,пьянка,деччуҡарте,
,"adj
прил.","деша́
deˈʃːa",ancient,древний,,
,"adj
прил.","дибя́ғ
diˈbæʁ",disgusting,отвратительный,,
,"n
сущ.","дива́н
diˈvan",assembly,собрание,диванте,
,"n
сущ.","диванбе́г
divanˈbeg",assembly host,ведущий собрания,диванбегме,
,"n
сущ.","ди́вғал
ˈdivʁal",salah,намаз,"дивғле-
дивғлуме",
,"n
сущ.","дивс
ˈdivs",copper,медь,,
,"n
сущ.","диг
ˈdig",meat,мясо,"дигу-
дигбе",
,"n
сущ.","дигита́н
digiˈtan",meat grinder,мясорубка,дигитанте,
,"v cls
гл. кл.","дика́л бирьо́ра
diˌkal birˈhora",to laugh,смеяться,"~ биьора
~ биьяв",
,"n
сущ.","дикалтьи́
dikalˈtʼi",ridicule,глумление,,
,"adv
нар.","дикла́
dikˈla",on one's hands,на руках,,
,"v cls
гл. кл.","дикла́ бурца́ра
dikˌla burˈtsara",to raise in hands,поднимать в руки,"~ буцара
~ буцив",
,"v cls
гл. кл.","дикла́ кабарта́ра
dikˌla kabarˈtara",to seat on lap,усаживать на колени,"~ кабатара
~ кабатур",
,"n
сущ.","дико́ла
diˈkola",wing,крыло,"дикле--
диклиппе",
,"n
сущ.","дикяби́р
dikæˈbir",december,декабрь,,
,"n
сущ.","ди́кка
ˈdikːa",love,любовь,,
,"v cls
гл. кл.","ди́кка дирҳа́ра
ˌdikːa dirˈxara",to fall in love,влюбляться,"~ диҳара
~ дишив",
,"ptcl
част.","дикьа́л
diˈkʼal",but,а,,
,"adj
прил.","дикьа́р
diˈkʼar",different,разный,,
,"v cls
гл. кл.","дикьа́р бира́ра
diˌkʼar biˈrara",to split,разделять,"~ барара
~ барив",
,"v cls
гл. кл.","дикьа́р бирка́ра
diˌkʼar birˈkara",to detach,отделяться,"~ бикара
~ бичив",
,"v cls
гл. кл.","дикьа́р цабирка́ра
diˌkʼar tsabirˈkara",to stand out,выделяться,"~ цабикара
~ цабичив",
,"v cls
гл. кл.","дикьа́р ьабира́ра
diˌkʼar habiˈrara",to select,отбирать,"~ ьабарара
~ ьабарив",
,"n
сущ.","дикьарде́ҳ
dikʼarˈdex",difference,отличие,,
,"n
сущ.","диле́кь
diˈlekʼ",liver,печеть,дилекье,
,"adj
прил.","диле́кьла
diˈlekʼla",direct relative,родной,,
,"v
гл.","дима иҡа́ра
diˌmа iˈqara",to call out,вызывать,"~ аҡара
~ аҡив",
,"n
сущ.","дин
ˈdin",religion,религия,,
,"n
сущ.","динди́
dinˈdi",stocking,чулок,"диндин-
диндбе",
,"adj
прил.","динж
ˈdinʒ",tranquil,умиротворенный,,
,"n
сущ.","дирехту́р
direχˈtur",director,директор,дирехтурте,
,"n
сущ.","дири́
diˈri",bordure,кайма,"дирин-
дирме",
,"n
сущ.","дири́ҳ
diˈrix",fog,туман,дирҳан-,
,"adj
прил.","дирҡь
ˈdirqʼ",level,ровный,,
,"n
сущ.","дирҡьа́
dirˈqʼa",flatland,равнина,"дирҡьан
дирҡьме",
,"n
сущ.","дирҡьби́кк
dirqʼˈbikː",plane,плоскость,дирҡьбикке,
,"n
сущ.","ди́рҡьол
ˈdirqʼol",sliver,щепка,дирҡьле,
,"n
сущ.","дирха́ла
dirˈχala",trust,доверие,дирхле,
,"n
сущ.","дирха́м
dirˈχam",bundle,связка,дирхме,
,"n
сущ.","дис
ˈdis",knife,нож,"дису-
дисбе",
,"n
сущ.","ди́чче
ˈditʃːe",affection,"привязанность, нежность, любовь",,
,"n
сущ.","дичче́н
diˈtʃːen",fodder,корм,,
,"pro
мест.","ду
ˈdu",i,я,"дила
дами",
,"n
сущ.","дубу́р
duˈbur",mountain,гора,дубурте,
,"n
сущ.","дувғя́-дувкка́
duvˌʁæ-duvˈkːa",trifle,мелочи,,
,"n
сущ.","дувғя́ хинкье́
duvˌʁæ χinˈkʼe",noodles,лапша,,
,"n
сущ.","дувҳ
ˈduvx",dish,посуда,"дувҳан-
дивҳне",
,"n
сущ.","ду́гне
ˈdugne",misdemeanor,проступок,дугниппе,
,"adj
прил.","дуж
ˈduʒ",correct,правильный,,
,"v
гл.","дуж курға́ра
ˌduʒ kurˈʁara",to define,"обозначать, определять","~ кағара
~ кағив",
,"v
гл.","дуж урға́ра
ˈduʒ urˌʁara",to correct,поправлять,"~ ағара
~ ағив",
,"n pl
сущ. мн.","дузе́
duˈze",yarn,пряжа,,
,"adj
прил.","ду́ка
ˈduka",right,правый,,
,"n
сущ.","дукка́ла
duˈkːala",bouquet,букет,"дуккалан-
дукклиппе",
,"n
сущ.","дукь
ˈdukʼ",yoke,ярмо,"дукьун-
дукьре",
,"n
сущ.","дукьа́р
duˈkʼar",leakage,протечка,дукьарун-,
,"n
сущ.","дуҡну́ғ
duqˈnuʁ",elbow,локоть,дуҡнуғе,
,"n
сущ.","дуҡьа́н
duˈqʼan",ceiling,потолок,дуҡьнуппе,
,"n
сущ.","дулҡь
ˈdulqʼ",riverbed,русло,,
,"n
сущ.","дулма́
dulˈma",cabbage rolls,голубцы,,
,"n
сущ.","дум
ˈdum",shore,берег,думре,
,"v cls
гл. кл.","дум берта́ра
ˌdum berˈtara",to have a meal,принимать пищу,"~ бетара
~ бетур",
,"n
сущ.","думба́т
dumˈbat",breakfast,завтрак,,
,"n
сущ.","ду́не
ˈdune",world,мир,,
,"n
сущ.","дунцра́
duntsˈra",fasting,пост,,
,"v cls
гл. кл.","дур цабира́ра
ˌdur tsabiˈrara",to spin,вращать,"~ цабарара
~ цабарив",
,"n
сущ.","дуркка́
durˈkːa",sleeve,рукав,"дурккан-
дурккме",
,"n
сущ.","дурҡ
ˈdurq",barn,сарай,дурҡбе,
,"adj
прил.","ду́рҡа
ˈdurqa","expensive
holy
valuable","дорогой
святой
ценный",,
,"n
сущ.","дурҡаде́ҳ
durqaˈdex",high price,дороговизна,,
,"n
сущ.","дурҡя́н
durˈqæn",blender,"смеситель, миксер",дурҡянте,
,"n
сущ.","дурлама́
durlaˈma",binoculars,бинокль,дурламабе,
,"n
сущ.","дуру́кк
duˈrukː",spindle,веретено,дуруккме,
,"adj
прил.","дуру́с
duˈrus",exact,точный,,
,"v cls
гл. кл.","дуру́с бира́ра
duˌrus biˈrara","to equate
to clarify","уравнивать
уточнять","~ барара
~ барив",
,"adj
прил.","ду́рьа
ˈdurha",cheap,дешёвый,,
,"v cls
гл. кл.","ду́рьа бира́ра
ˌdurha biˈrara",to disrespect,не уважать,"~ барара
~ барив",
,"n
сущ.","дус
ˈdus",year,год,"дусе-
дусме",
,"n
сущ.","дустт
ˈdustː",partner,партнёр,дусттре,
